sentence,in_task,acc
Szyja ³¹czy g³owê z tu³owiem. ,False,1
Prawnik broni klientów,False,1
Nauczyciel uczy w szkole,True,0
Œwinia potrafi siê wspinaæ,False,1
Pingwin potrafi lataæ,True,0
Wœciek³oœæ to negatywna emocja,False,1
Zupa jarzynowa jest z owoców,True,1
Kreda s³u¿y do pisania,True,1
Piêta jest czêœci¹ stopy. ,True,1
Listonosz krêci filmy,True,1
Cieœla robi drinki,True,1
Spodnie s¹ czêœci¹ garderoby,True,1
Zaj¹c to zwierzê roœlino¿erne,False,1
Biegi prze³ajowe to wyœcigi,False,1
Spadochroniarstwo to sport wodny,True,1
Piórnik przechowuje przybory,False,1
Nawigacja pomaga w podró¿owaniu,False,1
Literatura to nauka o ksi¹¿kach,False,1
Kie³basa jest z miêsa,True,1
Ramiê ³¹czy rêkê z tu³owiem. ,False,1
Jogurt mo¿na jeœæ,True,1
Malarz maluje obrazy,False,0
Zderzak chroni pojazd,True,1
Poœladki s¹ na koñcu nogi. ,False,0
Autobus jest wiêkszy od roweru,False,0
Boks polega na walce,True,1
Barista pisze ksi¹¿ki,True,1
Jelita trawi¹ pokarm. ,True,1
Papryka jest warzywem,True,1
Fotograf sprz¹ta chodniki,True,1
Sweter chroni przed zimnem. ,False,1
Kot to drapie¿nik,False,1
Plecak nosi siê na plecach,False,1
Wiatr jest niewidzialny,True,0
In¿ynier projektuje mosty,False,1
Wieloryb to gatunek owada,False,1
W³osy rosn¹ na g³owie. ,False,1
W¹¿ posiada cztery nogi,True,1
Kucyk potrafi lataæ,True,1
Na ziemii mieszkaj¹ ludzie,False,1
Na korepetycjach siê uczy,True,0
Ry¿ jest popularny w Azji,True,1
¯ebra chroni¹ p³uca.,False,0
Niebo jest zielone,True,1
Pomidory mo¿na jeœæ na surowo,True,1
¯eglarstwo odbywa siê na wodzie,False,1
Kalkulator pomaga w obliczeniach,False,1
Kocimiêtka przyci¹ga koty,False,1
D³ugopis s³u¿y do pisania,True,1
Rolkami jeŸdzi siê po wodzie,False,1
Krowa daje mleko,False,1
Gumka s³u¿y do œcierania ,False,1
NiedŸwiedŸ to drapie¿nik,False,1
Szyba chroni przed wiatrem.,True,0
Drzwi s¹ na pod³odze,False,1
Deszcz jest mokry,True,1
Œwierk jest drzewem iglastym,False,1
Krew transportuje substancje. ,False,1
Pacha znajduje siê pod rêk¹. ,False,0
Stopa sk³ada siê z palców. ,True,1
Szachy s¹ sportem umys³owym,True,1
Doradca finansowy maluje obrazy,True,1
Biodro ³¹czy nogê z tu³owiem.,True,1
W styczniu s¹ d³ugie dni. ,False,1
Kamieñ umie p³ywaæ,True,0
Buraki s¹ owocami,False,1
Klej s³u¿y do klejenia,False,1
Kciuk jest najd³u¿szym placem,True,0
Ksiê¿yc kr¹¿y wokó³ Ziemi,True,1
W kwietniu rosn¹ kwiaty. ,True,0
Marzec jest miesi¹cem lata.,True,0
Ser ¿ó³ty to miêso,True,1
Dzik poluje na ludzi,False,1
Paliwo jest potrzebne do jazdy,True,1
Narciarstwo to sport zimowy,False,1
Szarlotka to rodzaj mebla,True,1
Skóra chroni cia³o,False,1
Sos pomidorowy jest z pomidorów,False,0
Œliwa daje œliwki,False,1
Klatka piersiowa chroni serce.,False,1
Chleb jest z m¹ki,False,1
Buty nosi siê na stopach,True,0
Koszykówka grana jest na boisku,True,1
Fizyka bada prawa natury,True,0
Oliwa z oliwek jest zdrowa,False,1
Czarna wdowa jest ró¿owa,True,0
Jemio³a to zwierzê,False,1
Brew to czêœæ rêki,False,1
Jaguar to gatunek kota,True,0
Nadgarstek to czêœæ rêki,False,1
Stolarz ratuje ludzi,False,1
Fasola jest owocem,True,1
Kawa pobudza organizm,True,1
